sofifa_id,long_name,Team
202811,Emiliano Martínez,Arsenal 
237329,Joseph Willock,Arsenal 
192227,Shkodran Mustafi,Arsenal 
226491,Kieran Tierney,Arsenal 
251566,Gabriel,Arsenal 
246669,Bukayo Saka,Arsenal 
223959,Lucas Torreira,Arsenal 
225782,Ainsley Maitland-Niles,Arsenal 
228295,Rob Holding,Arsenal 
177604,Ignacio Monreal,Arsenal 
172879,Sokratis Papastathopoulos,Arsenal 
236496,Matteo Guendouzi,Arsenal 
240273,Emile Smith-Rowe,Arsenal 
179944,David Luiz,Arsenal 
222509,Dani Ceballos,Arsenal 
188567,Pierre-Emerick Aubameyang,Arsenal 
205989,Calum Chambers,Arsenal 
193301,Alexandre Lacazette,Arsenal 
203747,Hector Bellerín,Arsenal 
199503,Granit Xhaka,Arsenal 
231448,Reiss Nelson,Arsenal 
226110,Nicolas Pépé,Arsenal 
192883,Henrikh Mkhitaryan,Arsenal 
242000,Konstantinos Mavropanos,Arsenal 
207993,Sead Kolašinac,Arsenal 
176635,Mesut Özil,Arsenal 
236988,Eddie Nketiah,Arsenal 
244200,Robbie Burton,Arsenal 
242710,Tyreece John-Jules,Arsenal 
213407,Matt Macey,Arsenal 
224739,James Olayinka,Arsenal 
240334,Zechariah Medley,Arsenal 
188182,Folarin Balogun,Arsenal 
192563,Bernd Leno,Arsenal 
206517,Jack Grealish,Aston Villa
232381,Wesley Moraes,Aston Villa
163264,Tom Heaton,Aston Villa
212419,Tyrone Mings,Aston Villa
210881,John McGinn,Aston Villa
216433,Anwar El Ghazi,Aston Villa
227222,Frederic Guilbert,Aston Villa
218659,Matt Targett,Aston Villa
222994,Marvelous Nakamba,Aston Villa
226078,Trézéguet,Aston Villa
210828,Björn Engels,Aston Villa
227678,Ezri Konsa,Aston Villa
193849,Conor Hourihane,Aston Villa
173735,Neil Taylor,Aston Villa
210635,Kortney Hause,Aston Villa
191005,Ahmed Elmohamady,Aston Villa
252407,Jota,Aston Villa
186132,Danny Drinkwater,Aston Villa
186116,Henri Lansbury,Aston Villa
24630,Pepe Reina,Aston Villa
185427,Ørjan Nyland,Aston Villa
192317,Jed Steer,Aston Villa
189099,Jonathan Kodjia,Aston Villa
231743,Keinan Davis,Aston Villa
186130,James Chester,Aston Villa
220932,Lovre Kalinić,Aston Villa
233934,Aaron Ramsdale,Bournemouth
196978,Callum Wilson,Bournemouth
220714,Philip Billing,Bournemouth
213991,Jefferson Lerma,Bournemouth
193011,Steve Cook,Bournemouth
220414,Diego Rico,Bournemouth
207807,Ryan Fraser,Bournemouth
220710,Harry Wilson,Bournemouth
185422,Joshua King,Bournemouth
190885,Adam Smith,Bournemouth
225539,Dominic Solanke,Bournemouth
233201,Chris Mepham,Bournemouth
224294,Lewis Cook,Bournemouth
221282,Jack Stacey,Bournemouth
135883,Simon Francis,Bournemouth
184749,Dan Gosling,Bournemouth
169638,Charlie Daniels,Bournemouth
230882,Jack Simpson,Bournemouth
189446,Junior Stanislas,Bournemouth
232284,Mark Travers,Bournemouth
172768,Andrew Surman,Bournemouth
234249,Sam Surridge,Bournemouth
105846,Artur Boruc,Bournemouth
231512,Lloyd Kelly,Bournemouth
199005,Mathew Ryan,Brighton
199915,Lewis Dunk,Brighton
193158,Davy Pröpper,Brighton
182184,Dale Stephens,Brighton
198032,Dan Burn,Brighton
211784,Neal Maupay,Brighton
207616,Adam Webster,Brighton
194644,Martín Montoya,Brighton
190765,Pascal Groß,Brighton
194958,Aaron Mooy,Brighton
236529,Steven Alzate,Brighton
207421,Leandro Trossard,Brighton
192622,Shane Duffy,Brighton
237286,Aaron Connolly,Brighton
206594,Solly March,Brighton
232805,Bernardo,Brighton
236480,Yves Bissouma,Brighton
172937,Glenn Murray,Brighton
215871,Alireza Jahanbakhsh,Brighton
192838,Ezequiel Schelotto,Brighton
225018,Florin Andone,Brighton
177766,Gaëtan Bong,Brighton
173533,David Button,Brighton
189682,Ben Mee,Bunley
203841,Nick Pope,Bunley
202695,James Tarkowski,Bunley
243282,Dwight McNeil,Bunley
169706,Jack Cork,Bunley
192123,Chris Wood,Bunley
189280,Ashley Westwood,Bunley
200478,Jeff Hendrick,Bunley
186905,Ashley Barnes,Bunley
199633,Matthew Lowton,Bunley
178567,Erik Pieters,Bunley
204760,Charlie Taylor,Bunley
163261,Phil Bardsley,Bunley
169792,Jay Rodriguez,Bunley
201884,Robbie Brady,Bunley
186132,Danny Drinkwater,Bunley
194146,Kevin Long,Bunley
247741,Anthony Driscoll-Glennon,Bunley
200408,Ben Gibson,Bunley
150724,Joe Hart,Bunley
240786,Ali Koiki,Bunley
206585,Kepa Arrizabalaga,Chelsea
184432,César Azpilicueta,Chelsea
231352,Tammy Abraham,Chelsea
233064,Mason Mount,Chelsea
180403,Willian,Chelsea
205498,Jorginho,Chelsea
207410,Mateo Kovačić,Chelsea
232756,Fikayo Tomori,Chelsea
210736,Emerson Palmieri,Chelsea
227796,Christian Pulisic,Chelsea
213661,Andreas Christensen,Chelsea
238074,Reece James,Chelsea
240740,Callum Hudson-Odoi,Chelsea
192638,Marcos Alonso,Chelsea
199189,Ross Barkley,Chelsea
189505,Pedro,Chelsea
178509,Olivier Giroud,Chelsea
245992,Billy Gilmour,Chelsea
139062,Willy Caballero,Chelsea
215639,Kenedy,Chelsea
198717,Wilfried Zaha,Crystal Palace
171972,James McArthur,Crystal Palace
197756,Jordan Ayew,Crystal Palace
189690,Vicente Guaita,Crystal Palace
206304,Luka Milivojević,Crystal Palace
186801,Cheikhou Kouyaté,Crystal Palace
184037,Martin Kelly,Crystal Palace
186190,Patrick van Aanholt,Crystal Palace
173546,James Tomkins,Crystal Palace
164468,Gary Cahill,Crystal Palace
186392,Joel Ward,Crystal Palace
200759,Jeffrey Schlupp,Crystal Palace
194932,Andros Townsend,Crystal Palace
188253,James McCarthy,Crystal Palace
221269,Jaïro Riedewald,Crystal Palace
212150,Max Meyer,Crystal Palace
183285,Mamadou Sakho,Crystal Palace
184111,Christian Benteke,Crystal Palace
157665,Scott Dann,Crystal Palace
170084,Wayne Hennessey,Crystal Palace
192991,Cenk Tosun,Crystal Palace
191089,Connor Wickham,Crystal Palace
219571,Víctor Camarasa,Crystal Palace
244929,James Daly,Crystal Palace
155886,Stephen Henderson,Crystal Palace
237825,Nya Kirby,Crystal Palace
240945,Giovanni McGregor,Crystal Palace
245019,Sam Woods,Crystal Palace
204935,Jordan Pickford,Everton
200458,Lucas Digne,Everton
231943,Richarlison,Everton
220523,Yerry Mina,Everton
184484,Gylfi Sigurðsson,Everton
221479,Dominic Calvert-Lewin,Everton
207599,Michael Keane,Everton
225024,Mason Holgate,Everton
230005,Tom Davies,Everton
180216,Séamus Coleman,Everton
213655,Alex Iwobi,Everton
183427,Fabian Delph,Everton
205525,Bernard,Everton
164859,Theo Walcott,Everton
177358,Morgan Schneiderlin,Everton
211575,André Gomes,Everton
236610,Moise Kean,Everton
192991,Cenk Tosun,Everton
163631,Leighton Baines,Everton
214947,Jean-Philippe Gbamin,Everton
238062,Beni Baningime,Everton
172553,Jonas Lössl,Everton
2147,Maarten Stekelenburg,Everton
163587,Kasper Schmeichel,Leicester City
169588,Jonny Evans,Leicester City
220697,James Maddison,Leicester City
208830,Jamie Vardy,Leicester City
216393,Youri Tielemans,Leicester City
229984,Ben Chilwell,Leicester City
199652,Dennis Praet,Leicester City
228332,Hamza Choudhury,Leicester City
139313,Christian Fuchs,Leicester City
225719,Kelechi Iheanacho,Leicester City
198861,Nampalys Mendy,Leicester City
220633,Demarai Gray,Leicester City
183130,Marc Albrighton,Leicester City
136113,Wes Morgan,Leicester City
231554,James Justin,Leicester City
207998,Danny Ward,Leicester City
203376,Virgil van Dijk,Liverpool
231281,Trent Alexander-Arnold,Liverpool
216267,Andrew Robertson,Liverpool
181291,Georginio Wijnaldum,Liverpool
201942,Roberto Firmino,Liverpool
208722,Sadio Mané,Liverpool
209331,Mohamed Salah,Liverpool
183711,Jordan Henderson,Liverpool
212831,Alisson,Liverpool
209499,Fabinho,Liverpool
225100,Joe Gomez,Liverpool
194911,Adrián,Liverpool
198784,Alex Oxlade-Chamberlain,Liverpool
195086,Dejan Lovren,Liverpool
197061,Joël Matip,Liverpool
138412,James Milner,Liverpool
213135,Divock Origi,Liverpool
180819,Adam Lallana,Liverpool
220971,Naby Keïta,Liverpool
193348,Xherdan Shaqiri,Liverpool
242434,Curtis Jones,Liverpool
238460,Rhian Brewster,Liverpool
240913,Caoimhin Kelleher,Liverpool
118794,Andy Lonergan,Liverpool
240926,Nathaniel Phillips,Liverpool
192985,Kevin De Bruyne,Machester City
202652,Raheem Sterling,Machester City
210257,Ederson,Machester City
135507,Fernandinho,Machester City
231866,Rodri,Machester City
188377,Kyle Walker,Machester City
168542,David Silva,Machester City
186942,İlkay Gündoğan,Machester City
218667,Bernardo Silva,Machester City
204485,Riyad Mahrez,Machester City
153079,Sergio Agüero,Machester City
230666,Gabriel Jesus,Machester City
192366,Nicolás Otamendi,Machester City
204884,Benjamin Mendy,Machester City
203574,John Stones,Machester City
227813,Oleksandr Zinchenko,Machester City
210514,João Cancelo,Machester City
212218,Aymeric Laporte,Machester City
174543,Claudio Bravo,Machester City
245037,Eric García,Machester City
237692,Phil Foden,Machester City
157804,Scott Carson,Machester City
193080,David de Gea,Manchester United
203263,Harry Maguire,Manchester United
221660,Victor Lindelöf,Manchester United
231677,Marcus Rashford,Manchester United
229880,Aaron Wan-Bissaka,Manchester United
232104,Daniel James,Manchester United
209297,Fred,Manchester United
211300,Anthony Martial,Manchester United
237238,Scott McTominay,Manchester United
208450,Andreas Pereira,Manchester United
152908,Ashley Young,Manchester United
207494,Jesse Lingard,Manchester United
205988,Luke Shaw,Manchester United
178088,Juan Mata,Manchester United
191202,Nemanja Matić,Manchester United
195864,Paul Pogba,Manchester United
246147,Mason Greenwood,Manchester United
231485,Axel Tuanzebe,Manchester United
194957,Phil Jones,Manchester United
201862,Marcos Rojo,Manchester United
234574,Diogo Dalot,Manchester United
233510,Tahith Chong,Manchester United
240507,Angel Gomes,Manchester United
243657,James Garner,Manchester United
225508,Eric Bailly,Manchester United
53739,Lee Grant,Manchester United
173373,Sergio Romero,Manchester United
220407,Martin Dúbravka,Newcastle
230977,Miguel Almirón,Newcastle
223334,Joelinton,Newcastle
206115,Isaac Hayden,Newcastle
205995,Jetro Willems,Newcastle
F. SchÃ¤r,Fabian Schär,Newcastle
204355,Paul Dummett,Newcastle
203487,Jamaal Lascelles,Newcastle
189165,Jonjo Shelvey,Newcastle
183129,Ciaran Clark,Newcastle
237161,Sean Longstaff,Newcastle
216388,Allan Saint-Maximin,Newcastle
212722,DeAndre Yedlin,Newcastle
205601,Christian Atsu,Newcastle
207650,Emil Krafth,Newcastle
243828,Matthew Longstaff,Newcastle
182836,Andy Carroll,Newcastle
197948,Florian Lejeune,Newcastle
186395,Matt Ritchie,Newcastle
205670,Dwight Gayle,Newcastle
193331,Karl Darlow,Newcastle
167931,Rob Elliot,Newcastle
232648,Liam Gibson,Newcastle
244277,Kelland Watts,Newcastle
190362,Teemu Pukki,Norwich City
170597,Tim Krul,Norwich City
201368,Kenny McLean,Norwich City
225748,Todd Cantwell,Norwich City
225793,Ben Godfrey,Norwich City
208892,Sam Byram,Norwich City
231292,Jamal Lewis,Norwich City
239322,Christoph Zimmermann,Norwich City
204193,Tom Trybull,Norwich City
192449,Marco Stiepermann,Norwich City
198904,Grant Hanley,Norwich City
211382,Ibrahim Amadou,Norwich City
200857,Moritz Leitner,Norwich City
222148,Ondrej Duda,Norwich City
163201,Michael McGovern,Norwich City
200469,Lukas Rupp,Norwich City
244288,Adam Idah,Norwich City
239097,Dennis Srbeny,Norwich City
221982,Patrick Roberts,Norwich City
235267,Akin Famewo,Norwich City
211872,Philip Heise,Norwich City
199383,Timm Klose,Norwich City
200855,George Baldock,Sheffield United
212300,Jack O'Connell,Sheffield United
192546,Enda Stevens,Sheffield United
184274,Chris Basham,Sheffield United
186143,Oliver Norwood,Sheffield United
233306,Dean Henderson,Sheffield United
204936,John Egan,Sheffield United
200746,John Lundstram,Sheffield United
189177,John Fleck,Sheffield United
180818,David McGoldrick,Sheffield United
220031,Oliver McBurnie,Sheffield United
221618,Lys Mousset,Sheffield United
206518,Callum Robinson,Sheffield United
163050,Billy Sharp,Sheffield United
53914,Phil Jagielka,Sheffield United
194150,Simon Moore,Sheffield United
210985,Ben Osborn,Sheffield United
155533,Leon Clarke,Sheffield United
201155,Ravel Morrison,Sheffield United
231046,Jake Eastwood,Sheffield United
200807,Kieron Freeman,Sheffield United
155524,Richard Stearman,Sheffield United
231413,Michael Verrips,Sheffield United
220570,Jan Bednarek,Southampton
198719,Nathan Redmond,Southampton
195859,Danny Ings,Southampton
169705,Ryan Bertrand,Southampton
202697,Jack Stephens,Southampton
189324,Alex McCarthy,Southampton
202849,Jannik Vestergaard,Southampton
216325,Angus Gunn,Southampton
202282,Stuart Armstrong,Southampton
226093,Che Adams,Southampton
237560,Moussa Djenepo,Southampton
236316,Yan Valery,Southampton
211381,Sofiane Boufal,Southampton
242265,Michael Obafemi,Southampton
237985,Kevin Danso,Southampton
172203,Fraser Forster,Southampton
222096,Harry Lewis,Southampton
184087,Toby Alderweireld,Tottenham
202126,Harry Kane,Tottenham
183394,Moussa Sissoko,Tottenham
197853,Serge Aurier,Tottenham
172871,Jan Vertonghen,Tottenham
222400,Harry Winks,Tottenham
169595,Danny Rose,Tottenham
167948,Hugo Lloris,Tottenham
202335,Eric Dier,Tottenham
226226,Giovani Lo Celso,Tottenham
205923,Ben Davies,Tottenham
235883,Ryan Sessegnon,Tottenham
227927,Kyle Walker-Peters,Tottenham
236600,Japhet Tanganga,Tottenham
188942,Victor Wanyama,Tottenham
241042,Oliver Skipp,Tottenham
245902,Troy Parrott,Tottenham
236239,Alfie Whiteman,Tottenham
163155,Ben Foster,Watford
180706,Craig Cathcart,Watford
194806,Craig Dawson,Watford
206516,Will Hughes,Watford
190324,Christian Kabasele,Watford
183125,Troy Deeney,Watford
172953,Adrian Mariappa,Watford
193061,Roberto Pereyra,Watford
225410,Adam Masina,Watford
205897,Nathaniel Chalobah,Watford
189725,Tom Cleverley,Watford
194138,Andre Gray,Watford
188155,Daryl Janmaat,Watford
203177,Dimitri Foulquier,Watford
222634,Isaac Success,Watford
235450,Domingos Quina,Watford
219536,Ignacio Pussetto,Watford
233048,Tom Dele-Bashiru,Watford
213750,Ken Sema,Watford
234378,Declan Rice,West Ham
205693,Sébastien Haller,West Ham
152879,Mark Noble,West Ham
183855,Angelo Ogbonna,West Ham
201995,Felipe Anderson,West Ham
205346,Ryan Fredericks,West Ham
189615,Aaron Cresswell,West Ham
231633,Issa Diop,West Ham
226456,Pablo Fornals,West Ham
155946,Robert Snodgrass,West Ham
228229,Fabián Balbuena,West Ham
188988,Manuel Lanzini,West Ham
164835,Łukasz Fabiański,West Ham
194794,Andriy Yarmolenko,West Ham
212491,Arthur Masuaku,West Ham
183666,Roberto,West Ham
142784,Pablo Zabaleta,West Ham
190717,Michail Antonio,West Ham
116314,David Martin,West Ham
169697,Darren Randolph,West Ham
189461,Jack Wilshere,West Ham
182882,Carlos Sánchez,West Ham
178224,Javier Hernández,West Ham
222352,Albian Ajeti,West Ham
237683,Nathan Holland,West Ham
176285,Winston Reid,West Ham
202048,Conor Coady,Wolves
178005,Rui Patrício,Wolves
162347,João Moutinho,Wolves
204838,Raúl Jiménez,Wolves
212501,Leander Dendoncker,Wolves
224293,Rúben Neves,Wolves
213956,Adama Traoré,Wolves
201417,Matt Doherty,Wolves
208295,Romain Saïss,Wolves
224458,Diogo Jota,Wolves
202750,Willy Boly,Wolves
183774,Ryan Bennett,Wolves
238616,Pedro Neto,Wolves
235172,Rúben Vinagre,Wolves
237715,Patrick Cutrone,Wolves
245336,Max Kilman,Wolves
225161,Jesús Vallejo,Wolves
236015,Morgan Gibbs-White,Wolves
229050,Oskar Buur,Wolves
240175,Bruno Jordão,Wolves
244715,Taylor Perry,Wolves
163600,John Ruddy,Wolves
